Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping,Number
2018,FR10,Île de France,54800,6.68E+11,2,0,0,12183893,France,4
2018,FRB0,Centre - Val de Loire,25700,66090942400,2,0,0,2571632,,4
2018,FRC1,Bourgogne,25300,41162062700,2,0,0,1626959,,4
2018,FRC2,Franche-Comté,23700,27902626200,2,0,0,1177326,,4
2018,FRD1,Basse-Normandie,25000,36733550000,2,0,0,1469342,,4
2018,FRD2,Haute-Normandie,27000,50145075000,2,0,0,1857225,,4
2018,FRE1,Nord-Pas-de-Calais,25500,1.04E+11,2,0,0,4064842,,4
2018,FRE2,Picardie,22800,43941072000,2,0,0,1927240,,4
2018,FRF1,Alsace,29400,55497174600,2,0,0,1887659,,4
2018,FRF2,Champagne-Ardenne,26100,34527298500,2,0,0,1322885,,4
2018,FRF3,Lorraine,22900,53197020600,2,0,0,2323014,,4
2018,FRG0,Pays-de-la-Loire,28800,1.09E+11,2,0,0,3771669,,4
2018,FRH0,Bretagne,27300,90727591500,2,0,0,3323355,,4
2018,FRI1,Aquitaine,28300,97118383500,2,0,0,3431745,,4
2018,FRI2,Limousin,24500,17940394500,2,0,0,732261,,4
2018,FRI3,Poitou-Charentes,25600,46312985600,2,0,0,1809101,,4
2018,FRJ1,Languedoc-Roussillon,23600,66646423600,2,0,0,2824001,,4
2018,FRJ2,Midi-Pyrénées,29300,89178622700,2,0,0,3043639,,4
2018,FRK1,Auvergne,24300,33086952900,2,0,0,1361603,,4
2018,FRK2,Rhône-Alpes,32200,2.14E+11,2,0,0,6630738,,4
2018,FRL0,Provence-Alpes-Côte d'Azur,29500,1.49E+11,2,0,0,5048454,,4
2018,FRM0,Corse,25900,8714547100,2,0,0,336469,,4
2018,FRY1,Guadeloupe,22300,9417067000,2,0,0,422290,,4
2018,FRY2,Martinique,23700,8736768000,2,0,0,368640,,4
2018,FRY3,Guyane,14700,4226308800,2,0,0,287504,,4
2018,FRY4,La Réunion,21600,18625852800,2,0,0,862308,,4
2018,FRY5,Mayotte,9200,2395422400,2,0,0,260372,,4
2018,UKC1,Tees Valley and Durham,21300,25517229600,2,16314,19544020000,1197992,UK*,5
2018,UKC2,Northumberland and Tyne and Wear,25000,36255575000,2,16991,24640810000,1450223,,5
2018,UKD1,Cumbria,27200,13551475200,2,19804,9866880000,498216,,5
2018,UKD3,Greater Manchester,28600,80311088000,2,18256,51265190000,2808080,,5
2018,UKD4,Lancashire,25800,38453197200,2,17113,25505390000,1490434,,5
2018,UKD6,Cheshire,39600,36740840400,2,23134,21463880000,927799,,5
2018,UKD7,Merseyside,24600,38071132200,2,17199,26617600000,1547607,,5
2018,UKE1,East Yorkshire and Northern Lincolnshire,24600,22904199000,2,16946,15777900000,931065,,5
2018,UKE2,North Yorkshire,28500,23394909000,2,21559,17697220000,820874,,5
2018,UKE3,South Yorkshire,22100,30879578600,2,16589,23178860000,1397266,,5
2018,UKE4,West Yorkshire,27100,62692869000,2,17462,40396860000,2313390,,5
2018,UKF1,Derbyshire and Nottinghamshire,24800,54556304800,2,18235,40114330000,2199851,,5
2018,UKF2,"Leicestershire, Rutland and Northamptonshire",28100,51388212200,2,20041,36649530000,1828762,,5
2018,UKF3,Lincolnshire,22500,16935097500,2,17754,13362690000,752671,,5
2018,UKG1,"Herefordshire, Worcestershire and Warwickshire",31000,41676183000,2,22921,30815350000,1344393,,5
2018,UKG2,Shropshire and Staffordshire,24200,39201023400,2,19347,31339880000,1619877,,5
2018,UKG3,West Midlands,27100,78829049100,2,16516,48041420000,2908821,,5
2018,UKH1,East Anglia,29000,72763262000,2,20825,52250320000,2509078,,5
2018,UKH2,Bedfordshire and Hertfordshire,35300,65650481100,2,27686,51489950000,1859787,,5
2018,UKH3,Essex,26400,48284227200,2,23893,43698370000,1828948,,5
2018,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",44500,1.06912E+11,2,29099,69909850000,2402507,,5
2018,UKJ2,"Surrey, East and West Sussex",32700,94593480900,2,27864,80602810000,2892767,,5
2018,UKJ3,Hampshire and Isle of Wight,32400,64316397600,2,23053,45761520000,1985074,,5
2018,UKJ4,Kent,26100,48038694300,2,22497,41406320000,1840563,,5
2018,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",33100,82618328200,2,22884,57119190000,2496022,,5
2018,UKK2,Dorset and Somerset,25600,34044620800,2,20191,26850870000,1329868,,5
2018,UKK3,Cornwall and Isles of Scilly,21900,12364477200,2,16505,9318790000,564588,,5
2018,UKK4,Devon,23900,28389017500,2,18085,21482050000,1187825,,5
2018,UKL1,West Wales and The Valleys,20500,40254743000,2,15423,30285440000,1963646,,5
2018,UKL2,East Wales,28600,33258253600,2,18409,21407620000,1162876,,5
2018,UKM5,North Eastern Scotland,42300,20922595200,2,23610,11678310000,494624,,5
2018,UKM6,Highlands and Islands,29500,13886918500,2,18518,8717380000,470743,,5
2018,UKM7,Eastern Scotland,32900,65415300300,2,20955,41665850000,1988307,,5
2018,UKM8,West Central Scotland,27800,42712337000,2,18800,28885220000,1536415,,5
2018,UKM9,Southern Scotland,19300,18273954100,2,17880,16929340000,946837,,5
2018,UKN0,Northern Ireland (UK),25400,47649307800,2,16940,31779550000,1875957,,5
2018,UKI,London,57300,5.0996E+11,1,34332,3.05551E+11,8899823,,5
2018,SE11,Stockholm,50500,1.16561E+11,2,0,0,2308143,Nordics,7
2018,SE12,Östra Mellansverige,32500,54853825000,2,0,0,1687810,,7
2018,SE21,Småland med öarna,32700,28020204900,2,0,0,856887,,7
2018,SE22,Sydsverige,31700,47678702000,2,0,0,1504060,,7
2018,SE23,Västsverige,36700,73972776900,2,0,0,2015607,,7
2018,SE31,Norra Mellansverige,30300,25821690300,2,0,0,852201,,7
2018,SE32,Mellersta Norrland,32300,12137500200,2,0,0,375774,,7
2018,SE33,Övre Norrland,35800,18607408000,2,0,0,519760,,7
2018,FI19,Länsi-Suomi,30400,41963096000,2,0,0,1380365,,7
2018,FI1B,Helsinki-Uusimaa,44300,73344143200,2,0,0,1655624,,7
2018,FI1C,Etelä-Suomi,30700,35519930700,2,0,0,1157001,,7
2018,FI1D,Pohjois- ja Itä-Suomi,28900,37299813900,2,0,0,1290651,,7
2018,FI20,Åland,37200,1096990800,2,0,0,29489,,7
2018,DK01,Hovedstaden,51000,92955609000,2,25781,46989780000,1822659,,7
2018,DK02,Sjælland,27300,22796155200,2,21101,17619650000,835024,,7
2018,DK03,Syddanmark,35800,43703315400,2,20243,24712330000,1220763,,7
2018,DK04,Midtjylland,36000,47289456000,2,21488,28226560000,1313596,,7
2018,DK05,Nordjylland,33800,19913202400,2,20003,11784770000,589148,,7
2018,UKE1,East Yorkshire and Northern Lincolnshire,24600,22904199000,2,16946,15777900000,931065,North England,1
2018,UKE2,North Yorkshire,28500,23394909000,2,21559,17697220000,820874,,1
2018,UKE3,South Yorkshire,22100,30879578600,2,16589,23178860000,1397266,,1
2018,UKE4,West Yorkshire,27100,62692869000,2,17462,40396860000,2313390,,1
2018,UKD1,Cumbria,27200,13551475200,2,19804,9866880000,498216,,1
2018,UKD3,Greater Manchester,28600,80311088000,2,18256,51265190000,2808080,,1
2018,UKD4,Lancashire,25800,38453197200,2,17113,25505390000,1490434,,1
2018,UKD6,Cheshire,39600,36740840400,2,23134,21463880000,927799,,1
2018,UKD7,Merseyside,24600,38071132200,2,17199,26617600000,1547607,,1
2018,UKC1,Tees Valley and Durham,21300,25517229600,2,16314,19544020000,1197992,,1
2018,UKC2,Northumberland and Tyne and Wear,25000,36255575000,2,16991,24640810000,1450223,,1
2018,NL11,Groningen,38000,22151872000,2,0,0,582944,Low Countries,6
2018,NL12,Friesland (NL),27200,17605689600,2,0,0,647268,,6
2018,NL13,Drenthe,27300,13434330000,2,0,0,492100,,6
2018,NL21,Overijssel,33300,38344983300,2,0,0,1151501,,6
2018,NL22,Gelderland,33700,69425471100,2,0,0,2060103,,6
2018,NL23,Flevoland,30100,12391267000,2,0,0,411670,,6
2018,NL31,Utrecht,48900,63349167600,2,0,0,1295484,,6
2018,NL32,Noord-Holland,52200,1.47788E+11,2,0,0,2831182,,6
2018,NL33,Zuid-Holland,39400,1.45033E+11,2,0,0,3681044,,6
2018,NL34,Zeeland,31500,12042576000,2,0,0,382304,,6
2018,NL41,Noord-Brabant,40700,1.02901E+11,2,0,0,2528286,,6
2018,NL42,Limburg (NL),35400,39548809200,2,0,0,1117198,,6
2018,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,62500,75343250000,2,0,0,1205492,,6
2018,BE21,Prov. Antwerpen,42700,78974632100,2,0,0,1849523,,6
2018,BE22,Prov. Limburg (BE),29600,25833074400,2,0,0,872739,,6
2018,BE23,Prov. Oost-Vlaanderen,33600,50609395200,2,0,0,1506232,,6
2018,BE24,Prov. Vlaams-Brabant,39300,44744857800,2,0,0,1138546,,6
2018,BE25,Prov. West-Vlaanderen,35400,42205791600,2,0,0,1192254,,6
2018,BE31,Prov. Brabant wallon,43200,17345145600,2,0,0,401508,,6
2018,BE32,Prov. Hainaut,22900,30772012400,2,0,0,1343756,,6
2018,BE33,Prov. Liège,25700,28485134700,2,0,0,1108371,,6
2018,BE34,Prov. Luxembourg (BE),22200,6327222000,2,0,0,285010,,6
2018,BE35,Prov. Namur,24500,12131371000,2,0,0,495158,,6
2018,DE11,Stuttgart,48300,1.99319E+11,2,0,0,4126688,Germany,9
2018,DE12,Karlsruhe,41200,1.15186E+11,2,0,0,2795783,,9
2018,DE13,Freiburg,36000,81168264000,2,0,0,2254674,,9
2018,DE14,Tübingen,40800,75328224000,2,0,0,1846280,,9
2018,DE21,Oberbayern,54900,2.55259E+11,2,0,0,4649534,,9
2018,DE22,Niederbayern,36800,45265361600,2,0,0,1230037,,9
2018,DE23,Oberpfalz,40000,44176280000,2,0,0,1104407,,9
2018,DE24,Oberfranken,35600,37979504000,2,0,0,1066840,,9
2018,DE25,Mittelfranken,41700,73377113100,2,0,0,1759643,,9
2018,DE26,Unterfranken,38200,50170925000,2,0,0,1313375,,9
2018,DE27,Schwaben,37200,69689289600,2,0,0,1873368,,9
2018,DE30,Berlin,37600,1.35867E+11,2,0,0,3613495,,9
2018,DE40,Brandenburg,27200,68109888000,2,0,0,2504040,,9
2018,DE50,Bremen,46300,31531781600,2,0,0,681032,,9
2018,DE60,Hamburg,60700,1.11116E+11,2,0,0,1830584,,9
2018,DE71,Darmstadt,48800,1.94129E+11,2,0,0,3978050,,9
2018,DE72,Gießen,32100,33570404700,2,0,0,1045807,,9
2018,DE73,Kassel,34900,42557234500,2,0,0,1219405,,9
2018,DE80,Mecklenburg-Vorpommern,25800,41566870200,2,0,0,1611119,,9
2018,DE91,Braunschweig,41500,66222961000,2,0,0,1595734,,9
2018,DE92,Hannover,36100,77402732000,2,0,0,2144120,,9
2018,DE93,Lüneburg,26500,45221296000,2,0,0,1706464,,9
2018,DE94,Weser-Ems,33600,84552955200,2,0,0,2516457,,9
2018,DEA1,Düsseldorf,38800,2.01714E+11,2,0,0,5198820,,9
2018,DEA2,Köln,40000,1.78169E+11,2,0,0,4454228,,9
2018,DEA3,Münster,31500,82566319500,2,0,0,2621153,,9
2018,DEA4,Detmold,35400,72723742200,2,0,0,2054343,,9
2018,DEA5,Arnsberg,32600,1.16825E+11,2,0,0,3583590,,9
2018,DEB1,Koblenz,32400,48374982000,2,0,0,1493055,,9
2018,DEB2,Trier,29600,15676071200,2,0,0,529597,,9
2018,DEB3,Rheinhessen-Pfalz,35800,73426766600,2,0,0,2051027,,9
2018,DEC0,Saarland,33400,33205845800,2,0,0,994187,,9
2018,DED2,Dresden,29100,46518474300,2,0,0,1598573,,9
2018,DED4,Chemnitz,27000,39013731000,2,0,0,1444953,,9
2018,DED5,Leipzig,30100,31237238200,2,0,0,1037782,,9
2018,DEE0,Sachsen-Anhalt,26500,58911646500,2,0,0,2223081,,9
2018,DEF0,Schleswig-Holstein,31000,89584451000,2,0,0,2889821,,9
2018,DEG0,Thüringen,27400,58943017000,2,0,0,2151205,,9
2018,ES11,Galicia,25300,68389669700,2,0,0,2703149,Spain,2
2018,ES12,Principado de Asturias,24900,25587837600,2,0,0,1027624,,2
2018,ES13,Cantabria,26000,15113644000,2,0,0,581294,,2
2018,ES21,País Vasco,36300,78802508400,2,0,0,2170868,,2
2018,ES22,Comunidad Foral de Navarra,34300,22084603800,2,0,0,643866,,2
2018,ES23,La Rioja,29700,9292654800,2,0,0,312884,,2
2018,ES24,Aragón,30800,40444558000,2,0,0,1313135,,2
2018,ES30,Comunidad de Madrid,38300,2.50847E+11,2,0,0,6549520,,2
2018,ES41,Castilla y León,26300,63608022800,2,0,0,2418556,,2
2018,ES42,Castilla-la Mancha,22300,45326868500,2,0,0,2032595,,2
2018,ES43,Extremadura,20500,21944286500,2,0,0,1070453,,2
2018,ES51,Cataluña,33200,2.48625E+11,2,0,0,7488718,,2
2018,ES52,Comunidad Valenciana,24500,1.21183E+11,2,0,0,4946233,,2
2018,ES53,Illes Balears,30200,35241074600,2,0,0,1166923,,2
2018,ES61,Andalucía,20900,1.75771E+11,2,0,0,8410095,,2
2018,ES62,Región de Murcia,23200,34233200800,2,0,0,1475569,,2
2018,ES63,Ciudad Autónoma de Ceuta (ES),22000,1874598000,2,0,0,85209,,2
2018,ES64,Ciudad Autónoma de Melilla (ES),20300,1719572400,2,0,0,84708,,2
2018,ES70,Canarias (ES),22800,49636694400,2,0,0,2177048,,2
2018,ITC1,Piemonte,31900,1.3959E+11,2,22328,97703460000,4375865,Italy,3
2018,ITC2,Valle d'Aosta/Vallée d'Aoste,39500,4984979000,2,21943,2769200000,126202,,3
2018,ITC3,Liguria,32600,50757580600,2,21704,33792710000,1556981,,3
2018,ITC4,Lombardia,39200,3.93421E+11,2,25981,2.60749E+11,10036258,,3
2018,ITH1,Provincia Autonoma di Bolzano/Bozen,47700,25173675000,2,28704,15148520000,527750,,3
2018,ITH2,Provincia Autonoma di Trento,38500,20786073000,2,22818,12319160000,539898,,3
2018,ITH3,Veneto,33800,1.6579E+11,2,22165,1.08722E+11,4905037,,3
2018,ITH4,Friuli-Venezia Giulia,31800,38654108400,2,21816,26518580000,1215538,,3
2018,ITH5,Emilia-Romagna,36800,1.63857E+11,2,24655,1.09779E+11,4452629,,3
2018,ITI1,Toscana,32000,1.19583E+11,2,21015,78532720000,3736968,,3
2018,ITI2,Umbria,25900,22912176000,2,18347,16230200000,884640,,3
2018,ITI3,Marche,28700,43961311100,2,19391,29702160000,1531753,,3
2018,ITI4,Lazio,34100,2.01077E+11,2,21193,1.24971E+11,5896693,,3
2018,ITF1,Abruzzo,26200,34458135200,2,16275,21405320000,1315196,,3
2018,ITF2,Molise,21400,6601750200,2,14166,4370160000,308493,,3
2018,ITF3,Campania,18800,1.09545E+11,2,12980,75631340000,5826860,,3
2018,ITF4,Puglia,19300,78131070600,2,13466,54513900000,4048242,,3
2018,ITF5,Basilicata,22600,12816866800,2,13622,7725070000,567118,,3
2018,ITF6,Calabria,17300,33850685100,2,11758,23006970000,1956687,,3
2018,ITG1,Sicilia,18100,90988500900,2,12533,63002490000,5026989,,3
2018,ITG2,Sardegna,21600,35600601600,2,14128,23285390000,1648176,,3
2018,NL11,Groningen,38000,22151872000,2,0,0,582944,Netherlands,8
2018,NL12,Friesland (NL),27200,17605689600,2,0,0,647268,,8
2018,NL13,Drenthe,27300,13434330000,2,0,0,492100,,8
2018,NL21,Overijssel,33300,38344983300,2,0,0,1151501,,8
2018,NL22,Gelderland,33700,69425471100,2,0,0,2060103,,8
2018,NL23,Flevoland,30100,12391267000,2,0,0,411670,,8
2018,NL31,Utrecht,48900,63349167600,2,0,0,1295484,,8
2018,NL32,Noord-Holland,52200,1.47788E+11,2,0,0,2831182,,8
2018,NL33,Zuid-Holland,39400,1.45033E+11,2,0,0,3681044,,8
2018,NL34,Zeeland,31500,12042576000,2,0,0,382304,,8
2018,NL41,Noord-Brabant,40700,1.02901E+11,2,0,0,2528286,,8
2018,NL42,Limburg (NL),35400,39548809200,2,0,0,1117198,,8
